l1_name,industry_code,industry_name,latest_date,total_mv_yi,prefilter_label,final_label,summary_line,prefilter_hit_count,structure_score,breakout_emerged,breakout_confirmed,leader_turning_strong_ok,leader_confirmed_ok,leader_count,leader_group_names,leader_group_detail,leader_active_count,leader_top1_name,leader_top1_pct_change,leader_top1_above_ma60,leader_top1_above_ma250,leader_follow_ok,leader_5d_rank_pct,leaders_above_ma60_count,leaders_above_ma250_count,leaders_above_ma60_ratio,leaders_above_ma250_ratio,local_activity_ok,has_ma250,has_amount_ma20,has_ret_120d_rank,industry_amount,market_amount,absorption_rate,absorption_rate_rank_pct,absorption_rate_5d_change,crowding_label,crowding_note
医药生物,801151.SI,化学制药,20260630,18975.6273,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,0,False,False,True,False,10,百济神州、恒瑞医药、百利天恒、海思科、科伦药业、复星医药、诺诚健华、华东医药、艾力斯、新诺威,百济神州 -0.50%、恒瑞医药 -1.68%、百利天恒 -1.00%、海思科 +8.65%、科伦药业 -1.63%、复星医药 -1.14%、诺诚健华 -0.49%、华东医药 -2.09%、艾力斯 +2.05%、新诺威 -1.70%,7,百济神州,-0.5041,True,False,False,0.11671052631578949,6,4,0.6,0.4,True,True,True,True,6571348.0,3682796937.5763597,0.0017843362290630635,0.5622489959839357,0.0004481731205846647,拥挤正常,吸筹率未进入明显拥挤区间。
非银金融,801194.SI,保险Ⅱ,20260630,18046.2602,启动识别对象,观察中,观察中（偏弱），已有局部转强线索，但条件不完整。,0,3,False,False,False,False,3,中国人寿、中国平安、中国人保,中国人寿 -1.09%、中国平安 -1.77%、中国人保 -3.43%,0,中国人寿,-1.0912,False,False,False,-0.022940851299060205,0,0,0.0,0.0,True,True,True,True,1863144.0,3682796937.5763597,0.0005059046240073532,0.8032128514056225,0.00010244668097391724,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
电力设备,801735.SI,光伏设备,20260630,17752.0664,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,0,False,False,True,True,10,阳光电源、德业股份、隆基绿能、晶盛机电、迈为股份、微导纳米、帝尔激光、通威股份、横店东磁、晶科能源,阳光电源 +2.17%、德业股份 +1.83%、隆基绿能 +2.42%、晶盛机电 +7.47%、迈为股份 +7.15%、微导纳米 +16.59%、帝尔激光 +8.02%、通威股份 +0.67%、横店东磁 +5.72%、晶科能源 +1.50%,5,阳光电源,2.1717,True,True,True,0.04618421052631594,6,7,0.6,0.7,True,True,True,True,8143351.0,3682796937.5763597,0.002211186535133572,0.5622489959839357,0.0006469957540384923,拥挤正常,吸筹率未进入明显拥挤区间。
电力设备,801738.SI,电网设备,20260630,17375.0706,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,3,False,False,True,False,10,国电南瑞、思源电气、特变电工、中国西电、远东股份、正泰电器、宏发股份、四方股份、特锐德、南网科技,国电南瑞 -0.35%、思源电气 -0.51%、特变电工 -0.31%、中国西电 -0.53%、远东股份 +1.06%、正泰电器 -0.52%、宏发股份 +0.88%、四方股份 +1.06%、特锐德 -0.05%、南网科技 +6.38%,1,国电南瑞,-0.3489,False,False,False,-0.013810962451445863,4,8,0.4,0.8,False,True,True,True,5069355.0,3682796937.5763597,0.0013764959311973717,0.13253012048192772,-0.0003450975615167395,拥挤正常,吸筹率未进入明显拥挤区间。
计算机,801104.SI,软件开发,20260630,16040.1833,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,3,False,False,True,False,10,同花顺、金山办公、科大讯飞、华大九天、三六零、指南针、德赛西威、深信服、恒生电子、拓维信息,同花顺 +0.63%、金山办公 -0.41%、科大讯飞 +3.50%、华大九天 +4.52%、三六零 +2.72%、指南针 +0.77%、德赛西威 +3.69%、深信服 +6.51%、恒生电子 +2.27%、拓维信息 +4.28%,2,同花顺,0.6347,True,False,True,-0.03368083400160382,2,1,0.2,0.1,True,True,True,True,6275304.0,3682796937.5763597,0.001703950586026544,0.07228915662650602,-0.00010530899437985095,拥挤正常,吸筹率未进入明显拥挤区间。
计算机,801101.SI,计算机设备,20260630,13243.3865,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,0,False,False,True,True,9,海康威视、中科曙光、浪潮信息、中国长城、大华股份、柏楚电子、智微智能、淳中科技、同有科技,海康威视 +3.67%、中科曙光 +10.00%、浪潮信息 +6.35%、中国长城 +0.32%、大华股份 +3.06%、柏楚电子 +6.75%、智微智能 -0.89%、淳中科技 -0.37%、同有科技 +1.33%,5,海康威视,3.6678,True,True,True,0.08882521489971351,7,6,0.7777777777777778,0.6666666666666666,False,True,True,True,5518753.0,3682796937.5763597,0.0014985222084038874,0.44176706827309237,0.0003334143319066653,拥挤正常,吸筹率未进入明显拥挤区间。
计算机,801103.SI,IT服务Ⅱ,20260630,13099.8655,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,1,False,False,True,False,10,紫光股份、南网数字、宏景科技、宝信软件、软通动力、岩山科技、中科星图、网宿科技、润和软件、云天励飞-U,紫光股份 +9.98%、南网数字 +1.82%、宏景科技 +12.79%、宝信软件 +1.09%、软通动力 +1.19%、岩山科技 +1.71%、中科星图 +4.91%、网宿科技 +3.91%、润和软件 +2.83%、云天励飞-U +5.44%,4,紫光股份,9.9848,True,True,True,0.0724637681159419,4,3,0.4,0.3,True,True,True,True,5694214.0,3682796937.5763597,0.0015461656171972787,0.040160642570281124,5.568575140655805e-05,拥挤正常,吸筹率未进入明显拥挤区间。
国防军工,801745.SI,军工电子Ⅱ,20260630,12173.9438,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,1,2,False,False,True,True,10,中航成飞、中航光电、华丰科技、睿创微纳、国博电子、高德红外、火炬电子、宏达电子、航天电器、铖昌科技,中航成飞 +1.71%、中航光电 +4.76%、华丰科技 +9.65%、睿创微纳 +7.44%、国博电子 +5.53%、高德红外 +2.95%、火炬电子 +3.20%、宏达电子 +0.12%、航天电器 +6.23%、铖昌科技 +1.75%,7,中航成飞,1.7091,False,False,True,-0.0015408320493065508,7,9,0.7,0.9,True,True,True,True,4524528.0,3682796937.5763597,0.0012285575546767944,0.3373493975903614,0.0002837465967154486,拥挤正常,吸筹率未进入明显拥挤区间。
医药生物,801153.SI,医疗器械,20260630,11722.1731,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,2,False,False,True,False,10,迈瑞医疗、联影医疗、奕瑞科技、新产业、九安医疗、鱼跃医疗、惠泰医疗、英科医疗、振德医疗、华兰股份,迈瑞医疗 -1.21%、联影医疗 -0.78%、奕瑞科技 +10.71%、新产业 -2.33%、九安医疗 +5.76%、鱼跃医疗 -2.06%、惠泰医疗 -5.00%、英科医疗 -2.47%、振德医疗 -2.28%、华兰股份 +7.64%,3,迈瑞医疗,-1.2074,False,False,False,-0.025469938298177563,1,4,0.1,0.4,True,True,True,True,2615056.0,3682796937.5763597,0.0007100733611777581,0.18072289156626506,1.867649313370913e-05,拥挤正常,吸筹率未进入明显拥挤区间。
通信,801223.SI,通信服务,20260630,9819.7587,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,1,False,False,True,False,3,中国移动、中国电信、润泽科技,中国移动 -1.68%、中国电信 -1.89%、润泽科技 +9.02%,1,中国移动,-1.6781,False,False,False,-0.048497569597878876,0,1,0.0,0.3333333333333333,True,True,True,True,2570518.0,3682796937.5763597,0.0006979798353182221,0.20080321285140562,0.00012163603389410372,拥挤正常,吸筹率未进入明显拥挤区间。
