trade_date,market_amount
20251015,2090386715.4020002
20251016,1948658599.677
20251017,1954407554.4060001
20251020,1751294505.763
20251021,1892692698.8769999
20251022,1690256794.954
20251023,1660708816.795
20251024,1991616752.23
20251027,2356588539.434
20251028,2165306650.224
20251029,2290674105.179
20251030,2464294237.052
20251031,2349813486.528
20251103,2132903846.29
20251104,1938394964.734
20251105,1894339866.494
20251106,2075903916.512
20251107,2020204970.657
20251110,2194371384.3450003
20251111,2013885360.926
20251112,1964813023.8589997
20251113,2065680879.651
20251114,1980381884.094
20251117,1930321103.3040001
20251118,1945958604.615
20251119,1742665765.416
20251120,1722634730.148
20251121,1983599376.133
20251124,1740350182.6360002
20251125,1826169389.962
20251126,1797190474.216
20251127,1723172379.591
20251128,1597730794.3930001
20251201,1889449234.179
20251202,1607266719.9580002
20251203,1683556162.3379998
20251204,1561665471.312
20251205,1738952859.111
20251208,2051611871.6279998
20251209,1917689372.283
20251210,1791634157.7600002
20251211,1885275975.968
20251212,2119009686.4649997
20251215,1794419910.172
20251216,1748090890.921
20251217,1834364912.288
20251218,1676800696.865
20251219,1748741853.7940001
20251222,1882193940.957
20251223,1921373040.7859998
20251224,1897241756.428
20251225,1943917869.214
20251226,2181103641.9440002
20251229,2157686377.0220003
20251230,2161531644.336
20251231,2065788014.4870005
20260105,2567239811.6349998
20260106,2832277969.205
20260107,2881565961.1889997
20260108,2826302442.822
20260109,3152368298.167
20260112,3644614289.497
20260113,3698811083.9139996
20260114,3986861533.538
20260115,2938493793.991
20260116,3056523974.277
20260119,2732216214.2720003
20260120,2804235216.197
20260121,2623747053.4989996
20260122,2716404578.145
20260123,3118107722.921
20260126,3280644397.75
20260127,2921453671.6099997
20260128,2992289486.153
20260129,3259417550.198
20260130,2862425410.4360003
20260202,2606637984.538
20260203,2565612992.446
20260204,2503262865.556
20260205,2194279690.357
20260206,2163475055.528
20260209,2270179145.3329997
20260210,2124744548.2810001
20260211,2001043433.6889997
20260212,2160770686.539
20260213,1998941692.9280002
20260224,2218160722.196
20260225,2480891982.69
20260226,2556639456.212
20260227,2505480227.081
20260302,3045764686.7070003
20260303,3157557743.6520004
20260304,2387941675.351
20260305,2412590766.7209997
20260306,2219238855.323
20260309,2670581822.5130005
20260310,2416829506.592
20260311,2528293901.34
20260312,2460555248.7599998
20260313,2417275519.1330004
20260316,2339903116.308
20260317,2224568131.392
20260318,2061027859.931
20260319,2127261718.109
20260320,2302824611.707
20260323,2448105222.371
20260324,2096069957.1219997
20260325,2192853021.113
20260326,1956968363.4359999
20260327,1863792357.71
20260330,1927548105.4819999
20260331,2005905366.8860002
20260401,2024837697.6629996
20260402,1857789952.382
20260403,1668913111.903
20260407,1623581024.468
20260408,2450644988.823
20260409,2147341438.986
20260410,2337611173.968
20260413,2163064886.938
20260414,2396798587.915
20260415,2429477820.339
20260416,2354962986.554
20260417,2452893221.587
20260420,2606522778.409
20260421,2426646682.146
20260422,2578847156.5889997
20260423,2823315532.6359997
20260424,2657622712.6029997
20260427,2604807456.078
20260428,2550473217.357
20260429,2608873892.8900003
20260430,2759205598.067
20260506,3246596327.641
20260507,3168269724.2489996
20260508,3075719586.376
20260511,3565452832.18
20260512,3269736242.917
20260513,3264212322.031
20260514,3388086341.1759996
20260515,3370232295.625
20260518,2917073666.0620003
20260519,2908976620.151
20260520,2976458677.756
20260521,3507279541.5270004
20260522,2924659105.588
20260525,3226952453.297
20260526,3264359080.086
20260527,3259904342.636
20260528,2987326312.007
20260529,3340858147.402
20260601,2896724496.386
20260602,2812849119.499
20260603,3153124583.8919997
20260604,2779163742.118
20260605,3100690304.725
20260608,2823428976.929
20260609,2666732928.50019
20260610,2644143271.0716
20260611,2574932584.6721
20260612,3236111011.63386
20260615,3050741533.33469
20260617,3114039050.05478
20260618,3331719013.16708
20260623,3466026692.85931
20260624,3306939189.06359
20260625,3618944417.25799
20260626,3575391121.4476805
20260629,3539341107.6108503
20260701,3682796937.5763597
20260706,3112436883.6589403
20260707,2598465509.5486403
20260708,2582591573.10037
20260709,2932256567.4759903
20260713,2834713028.3644896
20260714,2719494232.1493797
